Titulo,Subnoticia,Link
"MAPA: veja nascimentos, mortes, casamentos e divórcios por cidade","Mortes caem em 2022, mas seguem acima do nível pré-pandemiaHá 18 minutos",https://g1.globo.com/economia/noticia/2024/03/27/mapa-nascimento-morte-casamento-divorcio.ghtml
As cidades mais 'casamenteiras' e as mais 'separadeiras' do país,,https://g1.globo.com/economia/noticia/2024/03/27/mapa-taxa-casamento-taxa-divorcio.ghtml
Infográfico: navio saiu da rota 2 minutos antes de bater em ponte,,https://g1.globo.com/mundo/noticia/2024/03/27/infografico-navio-comecou-a-desviar-dois-minutos-antes-de-bater-e-derrubar-ponte-nos-eua-aponta-site-de-monitoramento.ghtml
Mergulhadores acham caixa-preta e encerram busca por desaparecidos,,https://g1.globo.com/mundo/noticia/2024/03/27/ponte-colapsada-nos-eua-investigadores-recuperam-caixa-preta-do-navio-que-se-chocou-contra-estrutura.ghtml
ANÁLISE: governo brasileiro se mostrou lento para criticar Maduro,,https://g1.globo.com/mundo/blog/sandra-cohen/post/2024/03/27/governo-brasileiro-se-mostrou-lento-para-criticar-maduro.ghtml
Bolsonaro pode ser preso por estadia em embaixada? Entenda,,https://g1.globo.com/podcast/o-assunto/noticia/2024/03/27/o-assunto-1180-bolsonaro-e-a-visita-misteriosa-a-embaixada.ghtml
'Chemsex': adeptos contam como é o sexo químico e quais os riscos,Profissão Repórter: sexo sem cuidados aumenta casos de HIVHá 2 horas,https://g1.globo.com/profissao-reporter/noticia/2024/03/27/chemsex-profissao-reporter-conhece-os-adeptos-do-sexo-com-uso-de-substancias.ghtml
Americanos estocam 'comida do fim do mundo' com validade de 30 anos,,https://g1.globo.com/mundo/noticia/2024/03/27/comida-do-fim-do-mundo-com-medo-de-catastrofes-americanos-estocam-refeicoes-com-validade-de-ate-30-anos-veja-como-sao.ghtml
